sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
深证转债-择时,11.77,-32.84,-31.16,90.09,12.07,17,9,23.39,0.59,1224,1.50,5.78,42.98,0.50,50.36,做多
深证红利,15.18,-70.31,-69.13,388.15,26.18,12,11,27.88,0.65,2386,1.79,7.42,93.49,0.54,52.51,2020-11-02
深证红利-择时,18.37,-34.36,-33.41,193.21,23.73,12,10,27.88,0.74,724,1.78,14.46,73.56,0.66,52.60,做多
深证100,10.98,-71.56,-70.19,327.81,20.90,14,10,27.70,0.52,1862,1.77,3.69,94.95,0.40,52.89,2020-11-02
深证100-择时,16.81,-51.10,-39.14,182.74,23.42,14,11,27.69,0.70,842,1.77,12.22,75.83,0.61,52.64,做多
深证中小板R,15.63,-67.15,-60.83,189.55,21.76,17,10,29.49,0.64,1053,1.89,10.24,93.53,0.53,54.94,2020-11-02
深证中小板R-择时,15.36,-45.65,-36.08,178.68,26.02,17,12,29.49,0.63,728,1.89,7.75,104.09,0.52,53.26,做多
巨潮大中盘,6.93,-50.28,-45.21,154.05,11.75,12,8,23.38,0.40,430,1.50,7.81,47.55,0.30,52.08,2020-11-02
巨潮大中盘-择时,0.72,-36.23,-25.66,135.70,10.32,12,9,23.39,0.15,517,1.50,4.89,55.35,0.03,48.99,做空
巨潮中小盘,6.82,-67.47,-50.39,196.80,10.74,10,7,26.72,0.38,116,1.71,0.39,46.53,0.26,54.39,2020-11-02
巨潮中小盘-择时,-4.44,-61.73,-42.12,100.94,-1.64,10,12,26.73,-0.04,267,1.71,-6.24,28.09,-0.17,50.93,做空
深证中小红利,16.14,-50.47,-42.64,158.11,18.54,10,9,26.22,0.70,1232,1.68,18.54,43.56,0.62,54.09,2020-11-02
深证中小红利-择时,6.60,-37.20,-30.12,143.42,12.88,10,9,26.24,0.37,282,1.68,3.41,56.95,0.25,51.03,做多
